x,y,fx,fy
0,0,8.419387e-06,7.7261175e-06
20,0,7.079011e-05,0.0018410495
40,0,-0.0049195196,0.040369935
60,0,0.00087211665,-0.00039870667
80,0,0.010875132,0.02491375
100,0,-0.19744831,0.23584521
120,0,0.0027387906,-0.052807853
140,0,0.02349564,0.003833603
160,0,0.0070011206,0.02155793
180,0,-0.013447448,-0.00130265
200,0,-0.23055726,0.08079467
220,0,-0.17163622,0.01668897
240,0,-0.16226092,-0.092817366
260,0,0.049362335,0.15034732
280,0,-0.008906472,0.23623924
300,0,-0.10082852,0.11100102
320,0,0.057584208,0.0029287655
340,0,0.012979525,0.21228807
360,0,-0.0005098982,0.0010216744
380,0,-0.018031392,-0.0027956413
400,0,-0.20961668,0.09516628
420,0,-0.039011754,0.12423722
440,0,0.0916541,0.16563718
460,0,-0.17548892,0.1796774
480,0,-0.21352397,0.094634786
500,0,-0.058541104,0.22903752
520,0,-0.18222268,0.15750962
540,0,-0.16883615,0.049501333
560,0,-0.025280925,0.2554449
580,0,-0.006298958,0.31949183
600,0,-0.0038423329,0.23475088
620,0,-0.016434299,0.24942616
640,0,-0.005582051,0.26861754
660,0,-0.17200394,0.26402926
680,0,0.0012442352,0.00031224734
700,0,-0.14934374,0.052127197
720,0,0.0040012836,0.037118696
740,0,-0.004729456,-0.007861717
760,0,0.008965265,0.15100402
780,0,-0.009078556,0.0011385023
800,0,-0.05593271,0.08614588
820,0,0.0054439707,0.011224071
840,0,0.025157297,0.0047535887
860,0,-0.02310899,-0.03417797
880,0,-3.0431514e-05,1.9625353e-05
900,0,-0.027271409,-0.034953404
920,0,-0.015592096,0.08696535
940,0,-0.012713831,-0.0029694554
960,0,-0.019266719,0.033942062
980,0,-0.0012488659,-0.0007747594
0,20,0.012089638,-0.011644054
20,20,0.029892176,0.023221135
40,20,0.007399979,0.19338207
60,20,0.021327209,0.03288169
80,20,-0.0523321,0.13485019
100,20,0.03789689,0.28630418
120,20,-0.05787777,0.10667914
140,20,0.07990515,0.21729596
160,20,-0.0027667976,0.011627963
180,20,-0.0020293405,0.001985707
200,20,-0.0036681124,0.25795788
220,20,-0.01937758,0.26465607
240,20,-0.16123149,0.19055587
260,20,-0.17481545,0.007698235
280,20,0.015317597,0.15918836
300,20,-0.05350881,0.06509742
320,20,-0.0051523517,0.015121978
340,20,-0.017626718,0.059999846
360,20,-3.849183e-06,1.0015441e-06
380,20,1.4745165e-06,-2.8176344e-06
400,20,-8.916353e-05,3.583483e-06
420,20,-0.0061248206,0.003276324
440,20,0.121326156,0.26835567
460,20,0.21394591,0.19831145
480,20,-0.19976276,0.18200685
500,20,-0.0012512179,1.0678835
520,20,0.023709591,0.25081772
540,20,0.040443078,0.22027488
560,20,0.03894306,0.41144133
580,20,0.2579402,0.41874757
600,20,0.0014161902,0.3373066
620,20,0.020416524,0.2616292
640,20,0.054201834,0.34194815
660,20,0.06416185,0.24062036
680,20,-0.03250999,0.12647723
700,20,0.014360283,0.063727506
720,20,-0.0066090203,0.03877517
740,20,-0.041149113,0.040061373
760,20,-0.0035827546,0.010890356
780,20,1.9544754e-05,6.032335e-05
800,20,0.008565374,0.20911962
820,20,-0.00909182,0.006460236
840,20,-0.0030395333,-0.0029506304
860,20,0.007392362,0.00510927
880,20,-2.526735e-06,3.536188e-06
900,20,0.00569588,0.023512604
920,20,-0.007598612,0.1911409
940,20,0.023319459,0.07645248
960,20,0.024371272,0.049295098
980,20,0.0040077004,0.0006829838
0,40,-0.0005451873,0.0003069423
20,40,0.004217654,0.010813662
40,40,-0.011662018,0.011961437
60,40,-0.031385403,0.012842195
80,40,9.07636e-06,-0.00014054489
100,40,0.025322169,0.15528302
120,40,0.098094694,0.19877899
140,40,-0.15030518,0.14078383
160,40,0.0023900403,0.008962051
180,40,0.00020345622,0.0010495808
200,40,-0.020823224,0.117677376
220,40,-0.08505964,0.23574322
240,40,-0.20528635,0.12552214
260,40,-0.005925324,0.020078987
280,40,-0.00016505008,0.038567573
300,40,-0.0023985363,0.2037468
320,40,-0.087058656,0.02698852
340,40,-0.03271115,0.07170529
360,40,-0.0103303585,-0.004958195
380,40,0.00235003,-0.07352562
400,40,-0.0001856253,0.00015113488
420,40,-0.15102056,0.2453616
440,40,0.14953189,0.28718093
460,40,0.22368371,0.42550582
480,40,0.021355461,0.32132018
500,40,-0.18036759,0.720016
520,40,-0.11661111,0.65584373
540,40,-0.21855938,0.49762926
560,40,0.14472482,1.501841
580,40,-0.029934725,0.53192824
600,40,-0.17465867,0.31992146
620,40,-0.011277056,0.32561594
640,40,0.22624941,0.4799677
660,40,-0.03820506,0.48315856
680,40,0.0045744283,0.24114506
700,40,-0.14245908,0.2757503
720,40,-0.032274593,0.11358962
740,40,-0.04527653,0.013125076
760,40,0.00016449949,0.0067644594
780,40,-0.15275975,0.09567118
800,40,0.04964548,-0.014004887
820,40,0.02295638,0.08600129
840,40,-0.063398786,0.17612314
860,40,4.1412597e-05,-2.6540008e-06
880,40,0.00021253747,0.000346823
900,40,0.01213781,0.12683687
920,40,0.100751065,0.12855001
940,40,-0.004678986,0.052470073
960,40,0.05294275,-0.015740832
980,40,0.011743839,0.10153952
0,60,0.00020685748,-0.00019554891
20,60,-0.0007513116,0.043479912
40,60,-0.102539174,0.21511945
60,60,-0.0021290048,0.13315268
80,60,-0.003317431,0.05230719
100,60,0.0036089115,0.24740551
120,60,-0.13585937,0.24698855
140,60,0.07182707,0.1456178
160,60,1.0649259e-06,4.4960373e-07
180,60,-5.540801e-07,1.944286e-06
200,60,-0.019696845,0.03862489
220,60,0.01681354,0.2514849
240,60,-0.002937645,0.063164175
260,60,0.014129142,0.021207377
280,60,-0.0013591243,0.050326467
